ID,VILLAGE,Area_ha,cultivated_20250606_ha,cultivated_20250619_ha,cultivated_20250814_ha,cultivated_20251013_ha,cultivated_combined_ha
1,Manpura,140.25931749815015,0.0,0.0,0.0,0.0,0.0
2,Umeta,471.08328756962607,125.4,55.06,52.44,43.33,133.28
3,Sankhyad,379.99381922242065,0.0,0.0,0.0,0.0,0.0
4,Ampad,456.09888994487153,0.9400000000000001,1.0,0.41000000000000003,1.69,3.18
5,Khanpur,188.04013521178592,0.31,0.18,0.0,0.27,0.36
6,Ankod,510.8529592119426,40.54,29.18,25.8,41.82,66.89
7,Singrot,1085.9210302223298,347.05,114.56,89.15,101.22,386.29
8,Undera,436.83234605609243,2.19,1.6300000000000001,1.93,3.09,4.29
9,Sherkhi,1224.6848061474027,189.94,95.0,68.32000000000001,120.09,268.43
10,Bajwa,217.57638252429823,7.26,3.8200000000000003,1.93,6.04,13.280000000000001
11,Chhani,1079.582322733804,0.3,0.0,0.0,0.38,0.56
12,Kotna,448.0799847950352,0.0,0.0,0.0,0.0,0.0
13,Koyali,1170.1556398918967,260.2,143.75,107.79,154.73,317.23
14,Dhanora,398.32426651915347,144.62,71.65,54.370000000000005,50.67,159.86
15,Karchiya,491.33322447416214,55.04,37.15,30.85,44.74,76.86
16,Dashrath,919.1098110490101,157.98,109.86,77.25,116.52,220.88
17,Angadh,1113.5407033758574,113.56,64.11,52.620000000000005,39.02,121.57000000000001
18,Ranoli,703.9575703998283,208.92000000000002,127.28,115.54,104.67,236.92000000000002
19,Ajod,402.93863341554595,160.85,115.92,78.49,98.65,212.59
20,Sisva,417.64885109312274,103.13,68.73,60.78,87.09,146.81
21,Padmala,687.5159163908588,220.49,131.78,128.1,111.27,233.8
22,Sokhda,1174.099301341044,576.53,339.56,298.54,301.19,681.01
23,Vasna-Kotariya,494.0372570636771,44.300000000000004,15.120000000000001,19.42,18.990000000000002,45.87
24,Asoj,1077.9372898030076,132.15,96.71000000000001,97.05,120.8,199.72
25,Pilol,1084.3566916121522,0.0,0.0,0.0,0.0,0.0
26,Manjusar,1413.7808958494063,126.2,82.37,83.21000000000001,105.19,168.4
27,Alindra,853.473755998387,0.0,0.0,0.0,0.0,0.0
28,Kunpad,507.11474449640934,117.94,62.67,53.800000000000004,49.06,140.29
29,Jaspur,1458.3795059260876,2.61,0.27,0.23,0.26,3.3200000000000003
