Period,Sensor,Tile,SceneID,Date,CloudCover
June06,Sentinel-2,43QCE,S2B_MSIL2A_20250605T053639_R005_T43QCE_20250605T074336,2025-06-05T05:36:39.024000Z,46.955776
June06,Sentinel-2,43QBE,S2B_MSIL2A_20250605T053639_R005_T43QBE_20250605T074336,2025-06-05T05:36:39.024000Z,38.650391
June06,Sentinel-1,N/A,S1A_IW_GRDH_1SDV_20250531T010232_20250531T010257_059431_07608E,2025-05-31T01:02:45.347562Z,0.0
June19,Sentinel-2,43QCE,S2B_MSIL2A_20250605T053639_R005_T43QCE_20250605T074336,2025-06-05T05:36:39.024000Z,46.955776
June19,Sentinel-2,43QBE,S2B_MSIL2A_20250605T053639_R005_T43QBE_20250605T074336,2025-06-05T05:36:39.024000Z,38.650391
June19,Sentinel-1,N/A,S1A_IW_GRDH_1SDV_20250612T010232_20250612T010257_059606_076680,2025-06-12T01:02:44.669546Z,0.0
Aug14,Sentinel-2,43QCE,S2A_MSIL2A_20250910T054241_R005_T43QCE_20250910T090804,2025-09-10T05:42:41.024000Z,44.367552
Aug14,Sentinel-2,43QBE,S2A_MSIL2A_20250910T054241_R005_T43QBE_20250910T090804,2025-09-10T05:42:41.024000Z,35.461792
Aug14,Sentinel-1,N/A,S1A_IW_GRDH_1SDV_20250823T010230_20250823T010255_060656_078BF5,2025-08-23T01:02:42.540359Z,0.0
Oct13,Sentinel-2,43QCE,S2B_MSIL2A_20251013T053659_R005_T43QCE_20251013T081845,2025-10-13T05:36:59.024000Z,0.165859
Oct13,Sentinel-2,43QBE,S2B_MSIL2A_20251013T053659_R005_T43QBE_20251013T081845,2025-10-13T05:36:59.024000Z,0.003271
Oct13,Sentinel-1,N/A,S1A_IW_GRDH_1SDV_20251010T010231_20251010T010256_061356_07A7FC,2025-10-10T01:02:43.786521Z,0.0
